url,university_code,university_name
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-hoa-sen-HSU.html,HSU,Đại Học Hoa Sen
https://diemthi.tuyensinh247.com/diem-chuan/truong-si-quan-phao-binh-PBH.html,PBH,Trường Sĩ Quan Pháo Binh
https://diemthi.tuyensinh247.com/diem-chuan/truong-si-quan-luc-quan-2-dai-hoc-nguyen-hue-LBH.html,LBH,Trường Sĩ Quan Lục Quân 2
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-tai-nguyen-va-moi-truong-ha-noi-DMT.html,DMT,Đại học Tài Nguyên và Môi Trường Hà Nội
https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-quan-ly-giao-duc-HVQ.html,HVQ,Học Viện Quản Lý Giáo Dục
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ha-noi-NHF.html,NHF,Đại Học Hà Nội
https://diemthi.tuyensinh247.com/diem-chuan/truong-si-quan-dac-cong-DCH.html,DCH,Trường Sĩ Quan Đặc Công
https://diemthi.tuyensinh247.com/diem-chuan/truong-siquan-tang-thiet-giap-TGH.html,TGH,Trường Sĩ Quan Tăng
https://diemthi.tuyensinh247.com/diem-chuan/truong-si-quan-thong-tin-he-quan-su-dai-hoc-thong-tin-lien-lac-TTH.html,TTH,Trường Sĩ Quan Thông Tin
https://diemthi.tuyensinh247.com/diem-chuan/truong-si-quan-cong-binh-he-quan-su-dai-hoc-ngo-quyen-SNH.html,SNH,Trường Sĩ Quan Công Binh
https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-khoa-hoc-quan-su-he-quan-su-NQH.html,NQH,Học Viện Khoa Học Quân Sự
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-su-pham-ky-thuat-hung-yen-SKH.html,SKH,Đại Học Sư Phạm Kỹ Thuật Hưng Yên
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-mo-ha-noi-MHN.html,MHN,Đại Học Mở Hà Nội
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kien-truc-tphcm-KTS.html,KTS,Đại Học Kiến Trúc TPHCM
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-tai-nguyen-va-moi-truong-tphcm-DTM.html,DTM,Đại học Tài Nguyên và Môi Trường TPHCM
https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-y-duoc-hoc-co-truyen-viet-nam-HYD.html,HYD,Học Viện Y Dược Học Cổ Truyền Việt Nam
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-my-thuat-viet-nam-MTH.html,MTH,Đại Học Mỹ Thuật Việt Nam
